t,I_obs
0.0,5.967141530112327
1.0,-0.16166535921842096
2.0,7.967507699665525
3.0,17.049870250388135
4.0,-0.12078443391520066
5.0,0.36846667133028
6.0,19.097959418628157
7.0,11.706057121689462
8.0,0.22044989102544132
9.0,11.415239009330993
10.0,2.6608641937539987
11.0,4.2218618728088835
12.0,13.21834411498769
13.0,-6.012127800130699
14.0,-1.3257857834643794
15.0,13.674827428290222
16.0,13.219223229029572
17.0,31.332367824377283
18.0,24.873538338262698
19.0,26.6544809770646
20.0,63.46044279334707
21.0,55.91506778130503
22.0,69.68508796305753
23.0,67.16435434161285
24.0,89.9853091423088
25.0,112.15405216439399
26.0,116.64452077972378
27.0,150.30576737087642
28.0,159.89767502860929
29.0,182.86711791769034
30.0,199.63991384102698
31.0,243.45051463063487
32.0,242.84764021585798
33.0,248.6630897078055
34.0,281.4256758571415
35.0,272.2739849061642
36.0,294.9382851331104
37.0,278.61665492719527
38.0,287.3410951846454
39.0,302.2120561292481
40.0,304.7112233518652
41.0,293.8942189272129
42.0,283.9857902113269
43.0,273.54312222619666
44.0,251.9613094098441
45.0,248.82718212959162
46.0,240.0599711535784
47.0,243.48014637860885
48.0,224.39440070946745
49.0,191.3548084521701
50.0,200.3703487187732
51.0,181.65174980780955
52.0,167.4219451581076
53.0,169.37756217260997
54.0,163.06897851886586
55.0,152.0309943949059
56.0,124.76634473727322
57.0,120.99785971166258
58.0,118.82715957782725
59.0,117.18315468293461
60.0,95.02837628604004
61.0,90.82201440628162
62.0,74.92385910946598
63.0,67.76593754145772
64.0,82.00699639826816
65.0,81.99076850917584
66.0,62.627378338712035
67.0,68.65394991197815
68.0,57.83792473025742
69.0,43.68530757724803
70.0,49.958166830713196
71.0,58.20649718305415
72.0,39.20621578399419
73.0,52.18869903996951
74.0,7.54589471205718
75.0,39.37145608097839
76.0,29.625542695657845
77.0,23.547586002427227
78.0,25.405010185264693
79.0,2.7166136252144852
80.0,18.644407584332857
81.0,22.79449698015573
82.0,32.50817334911685
83.0,11.166867884803967
84.0,6.9909331318047805
85.0,8.882638701492969
86.0,21.96924799444575
87.0,15.10159440192632
88.0,5.592829166566051
89.0,15.171057532398187
90.0,10.223257524597958
91.0,18.214121674696976
92.0,0.838739725418983
93.0,3.96632389422041
94.0,2.753605081082161
95.0,-8.484363046207111
96.0,8.629019386452107
97.0,7.833161310666661
98.0,4.863369155898781
99.0,2.0881187260652503
100.0,-10.068330202472556
